trtid10,trtid00,placefp10,cbsa10,metdiv10,ccflag10,changetype,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49
12031000100,12031000100,35000,27260,99999,1,1,6077,2844,195,228,254,159,76,29,29,80,147,181,216,282,225,168,137,50,57,47,59,89,80,34,22,3233,174,228,247,140,90,36,31,82,171,225,255,261,247,192,149,53,86,38,81,128,157,83,79
12031000200,12031001300,35000,27260,99999,1,1,2678.443818,1202.177547,93.09044798,130.1223201,138.1102604,63.08011107,40.03273356,23.01636678,7.018089597,39.04996174,77.05685302,65.07149698,87.08011107,90.10681476,66.09906208,53.06805134,57.04134765,18.01895101,23.01895101,17.01205973,28.01722819,40.03101074,27.0180896,12.01292114,8.004307047,1476.266272,89.08011107,135.1025077,133.1386869,67.08097248,32.0370406,16.01550537,18.01636678,49.04048624,77.08183389,86.06632852,103.1119832,95.11284463,101.0844181,94.06029866,66.06029866,37.01895101,35.02411946,27.01119832,39.0180896,67.03531778,58.02584228,24.02153523,27.02153523
12031000300,12031000300,35000,27260,99999,1,1,2834.556182,1365.822453,104.909552,141.8776799,127.8897396,92.91988893,37.96726644,18.98363322,20.9819104,57.95003826,65.94314698,82.92850302,92.91988893,123.8931852,114.9009379,78.93194866,47.95865235,21.98104899,21.98104899,13.98794027,19.98277181,35.96898926,20.9819104,14.98707886,4.995692953,1468.733728,92.91988893,118.8974923,160.8613131,93.91902752,42.9629594,17.98449463,18.98363322,46.95951376,94.91816611,76.93367148,129.8880168,130.8871554,97.91558188,69.93970134,69.93970134,21.98104899,27.97588054,12.98880168,20.9819104,40.96468222,29.97415772,24.97846477,24.97846477
12031000600,12031000600,35000,27260,99999,1,1,4988.151363,2344.073419,197.0026987,176.0014287,170.0019049,112.00127,49.00071435,32.00119058,25.00055561,89.00420673,153.0114296,181.0101596,222.007461,230.0076991,166.0049211,134.0047623,85.00404798,36.00103184,45.00126996,27.00071435,45.00134933,53.00198431,55.00134933,32.00063498,30.00063498,2644.077944,168.0026193,171.0019843,153.0021431,128.0007937,65.00111121,38.00071435,34.00079372,66.00452422,179.0122233,175.0078579,211.006191,210.0052386,186.0051592,153.004683,121.0034924,45.00055561,62.0014287,38.00111121,52.00174619,114.0034924,110.0042067,87.00269866,78.00317489
12031000700,12031000700,35000,27260,99999,1,1,4150,1983.470129,158.0402187,108.0441234,136.0456853,64.02655213,26.01483795,12.00663803,14.00468567,58.01444748,147.0331902,191.0292854,198.0335806,199.035533,167.0304569,150.0277235,108.0167903,42.00976181,38.0070285,24.00819992,24.00898087,41.01249512,32.00780945,34.00937134,12.00273331,2166.529871,134.0441234,119.0550566,128.0374854,100.0265521,27.01522843,21.00898087,15.00624756,71.01210465,185.0386568,157.0359235,186.0386568,199.0398282,176.0335806,165.0296759,103.0183522,38.00780945,35.01171417,22.00741898,33.01093323,70.01718079,58.01327606,57.0156189,67.00546661
12031000800,12031000800,35000,27260,99999,1,1,1906.848637,924.9265807,33.99730134,17.9985713,23.99809507,15.99873004,8.99928565,14.99880942,6.999444394,52.99579327,143.9885704,127.9898404,93.99253901,96.99230089,61.99507892,59.99523766,50.99595202,12.99896816,15.99873004,8.99928565,16.99865067,24.99801569,16.99865067,7.999365022,7.999365022,981.9220564,32.99738072,24.99801569,26.99785695,9.999206277,13.99888879,8.99928565,9.999206277,56.99547578,153.9877767,98.99214215,77.99380896,65.99476143,64.9948408,58.99531704,43.99650762,6.999444394,17.9985713,13.99888879,21.99825381,43.99650762,52.99579327,33.99730134,39.99682511
12031001000,12031001000,35000,27260,99999,1,1,3999,2792,28,39,38,67,159,85,78,209,307,289,369,364,211,151,77,26,44,27,38,58,40,49,39,1207,24,30,36,25,20,15,9,34,56,66,95,91,58,52,40,24,32,28,46,91,104,110,121
12031001100,12031001100,35000,27260,99999,1,1,2189,1176,72,59,75,57,39,26,11,49,62,87,109,147,117,87,65,24,12,12,23,17,11,10,5,1013,69,49,75,61,65,26,12,42,59,74,82,106,66,66,44,14,20,10,8,21,26,9,9
12031001200,12031001200,35000,27260,99999,1,1,2609,1409,72,92,91,52,43,13,13,41,85,107,145,146,132,125,98,30,37,20,11,28,11,10,7,1200,80,79,117,58,27,13,21,36,54,74,113,121,89,87,65,19,21,11,24,37,26,15,13
12031001300,12031001300,35000,27260,99999,1,1,4737.488534,2090.8302,307.7972996,213.1670619,207.1904153,142.4434105,64.74700478,28.88712521,28.88712521,55.78203488,99.61077658,103.5952076,125.5095785,150.4122726,157.385027,79.68862126,90.64580669,22.91047861,39.84431063,14.94161649,37.8520951,45.82095723,32.87155627,25.89880191,14.94161649,2646.658334,250.0230492,238.069756,225.1203551,121.5251474,110.567962,43.82874169,43.82874169,123.517363,163.3616736,135.4706561,175.3149668,175.3149668,173.3227512,122.5212552,135.4706561,41.83652616,52.79371159,40.8404184,53.78981935,68.73143584,53.78981935,52.79371159,44.82484946
